gene_id	Description	Adipose_Subcutaneous	Adipose_Visceral_Omentum	Adrenal_Gland	Artery_Aorta	Artery_Coronary	Artery_Tibial	Bladder	Brain_Amygdala	Brain_Anterior_cingulate_cortex_BA24	Brain_Caudate_basal_ganglia	Brain_Cerebellar_Hemisphere	Brain_Cerebellum	Brain_Cortex	Brain_Frontal_Cortex_BA9	Brain_Hippocampus	Brain_Hypothalamus	Brain_Nucleus_accumbens_basal_ganglia	Brain_Putamen_basal_ganglia	Brain_Spinal_cord_cervical_c-1	Brain_Substantia_nigra	Breast_Mammary_Tissue	Cells_Cultured_fibroblasts	Cells_EBV-transformed_lymphocytes	Cervix_Ectocervix	Cervix_Endocervix	Colon_Sigmoid	Colon_Transverse	Colon_Transverse_Mixed_Cell	Colon_Transverse_Mucosa	Colon_Transverse_Muscularis	Esophagus_Gastroesophageal_Junction	Esophagus_Mucosa	Esophagus_Muscularis	Fallopian_Tube	Heart_Atrial_Appendage	Heart_Left_Ventricle	Kidney_Cortex	Kidney_Medulla	Liver	Liver_Hepatocyte	Liver_Mixed_Cell	Liver_Portal_Tract	Lung	Minor_Salivary_Gland	TPM	Nerve_Tibial	Ovary	Pancreas	Pancreas_Acini	Pancreas_Islets	Pancreas_Mixed_Cell	Pituitary	Prostate	Skin_Not_Sun_Exposed_Suprapubic	Skin_Sun_Exposed_Lower_leg	Small_Intestine_Terminal_Ileum	Small_Intestine_Terminal_Ileum_Lymphode_Aggregate	Small_Intestine_Terminal_Ileum_Mixed_Cell	Spleen	Stomach	Stomach_Mixed_Cell	Stomach_Mucosa	Stomach_Muscularis	Testis	Thyroid	Uterus	Vagina	Whole_Blood	gene_base	pct
ENSG00000196476.12	C20orf96	11.86	11.2602	16.3018	15.3874	13.7167	10.521	20.2972	10.6516	11.6526	15.1439	13.1515	14.118	13.054	13.4262	10.9381	13.8301	15.3859	11.3008	13.8738	10.7152	17.7582	11.8414	16.8083	23.6662	44.4984	20.8611	18.2659	15.0821	16.2153	18.4029	14.7028	6.40722	13.2954	38.1974	7.7038	4.26862	13.8672	32.3911	4.6258	4.12534	3.75944	16.4507	20.8504	16.7829	2.10469	19.5318	46.3289	6.45027	7.35356	12.5977	6.73002	37.4234	29.1688	5.3996	5.7442	17.3609	18.5371	15.7373	18.9952	13.8706	12.8285	10.9458	13.4856	75.106	42.9461	41.6528	17.4194	2.44773	ENSG00000196476	0.8239120491928243
ENSG00000247315.4	ZCCHC3	13.6177	17.2061	15.5477	18.3798	16.5255	16.4442	18.286	10.1364	11.8574	10.4963	34.4125	28.7594	12.4144	15.6177	9.79232	18.0074	11.4237	9.20351	11.2917	9.76617	14.5224	21.459	45.2122	18.1714	26.0087	19.3293	16.8318	17.0083	15.3819	21.3667	20.0669	12.3087	18.3115	28.0663	7.1521	6.72882	9.81768	18.8032	8.93091	10.9241	9.49892	31.0766	16.8345	11.3599	5.74825	17.5911	32.1716	6.51234	8.21678	16.8474	8.07151	25.8194	17.9784	8.37102	8.61447	22.4839	54.1634	31.4966	36.1684	15.8351	16.8126	14.4476	25.0592	24.9839	22.2375	28.7478	16.6288	6.78411	ENSG00000247315	0.8780173801094303
ENSG00000177732.9	SOX12	6.10977	7.01446	12.5783	12.1639	9.6986	11.9569	13.3559	8.70047	9.78347	7.80499	28.1801	33.2914	13.2652	10.7084	8.39746	8.41847	9.38018	6.72574	9.07636	6.39458	7.05664	20.3586	11.4346	17.9399	27.5298	21.1283	9.2677	5.51311	2.549	12.2888	11.731	7.01914	11.4022	23.0994	4.74351	4.23984	9.78384	16.3738	3.41548	3.53003	3.4068	4.47878	8.68262	6.20926	0.721114	21.055	27.0918	4.29049	4.03797	8.53459	4.23327	14.883	16.9594	8.0032	8.48476	9.73993	17.7532	8.76785	11.704	6.76539	6.19266	4.67966	11.2722	23.2286	23.8351	26.3256	13.5026	1.52381	ENSG00000177732	0.7689936137414667
ENSG00000125841.13	NRSN2	19.8195	23.702	57.0883	46.6007	38.1173	33.3286	30.9387	78.2398	113.998	70.0692	115.63	118.646	144.564	150.079	69.8207	70.1577	89.8743	57.5743	24.2405	38.6022	23.8086	55.7552	15.6155	31.3201	55.1221	37.5294	19.0274	13.7275	6.37588	39.9739	39.0471	8.27051	40.4778	51.3474	19.4581	12.3803	21.0346	30.7561	2.00227	1.4694	2.24426	29.4365	33.2806	19.8471	1.59417	56.8779	56.3981	8.68659	7.97301	61.4928	9.29225	83.5577	40.3619	11.4816	13.7116	14.0143	12.5511	12.6178	21.4494	15.7734	16.3253	11.6319	38.4147	52.2416	44.5829	54.4063	26.2647	0.918824	ENSG00000125841	0.8095641420900175
ENSG00000101255.12	TRIB3	5.12117	6.95717	8.69146	4.72848	4.07756	2.26002	4.07274	2.0458	2.76659	0.893777	8.83982	9.31768	3.55669	3.15545	2.01853	3.19835	1.24732	0.85253	1.2096	1.36272	9.19372	31.1785	32.8721	6.49194	5.47544	2.06495	3.54946	5.00119	4.22603	1.86678	2.73526	15.4783	2.42085	4.55308	1.20101	0.957301	3.36804	5.19408	31.4911	28.3508	28.6653	27.3867	15.2598	10.6581	0.614081	7.47464	4.91004	5.9562	6.88099	16.9291	7.65791	17.2125	10.8968	14.8435	17.9578	6.07276	16.9062	9.1068	15.1413	4.51255	4.72082	4.61403	2.49135	2.62769	8.68511	4.22886	6.14306	4.65123	ENSG00000101255	0.7604898954821879
ENSG00000125826.21	RBCK1	44.2587	42.5051	60.1419	54.2576	50.208	47.6633	58.4194	21.2445	19.5828	21.7694	97.0085	104.671	25.1975	22.0078	20.9957	27.4881	23.5536	19.7642	36.4968	21.849	47.0869	55.451	79.1723	62.5962	74.6332	53.579	48.3528	45.4027	40.0822	48.7538	50.4682	44.9239	49.4798	70.6624	23.1534	18.7076	34.5616	65.2781	46.108	50.4305	50.8367	57.7373	69.733	41.6302	19.5475	67.5229	77.6468	20.9495	21.1237	73.2221	22.7246	90.4253	80.3827	42.5015	42.178	57.6068	64.103	60.0103	84.2542	40.6735	40.6561	34.8611	51.3491	50.7515	79.5761	72.5403	62.022	54.8591	ENSG00000125826	0.9446580726034591
ENSG00000125875.15	TBC1D20	35.3409	31.3248	33.5111	37.7582	33.3127	34.566	44.7307	15.5828	17.2179	17.176	52.4429	52.3097	21.3211	20.9951	15.8598	17.307	17.5592	15.1619	22.9136	17.1927	35.632	37.3121	18.878	40.1686	51.3611	39.7447	27.6116	24.1803	19.4325	34.6551	37.9447	30.6362	36.4967	45.0363	14.2966	10.6396	15.7134	24.9573	11.7753	12.7329	11.3504	32.6452	46.2995	32.4369	16.6171	40.8406	43.6405	11.9545	12.4706	29.3397	12.8527	43.4231	42.5177	37.2107	41.8275	27.8498	38.2975	26.8033	32.9572	21.7925	22.1855	15.804	34.5877	29.649	45.0787	49.8771	41.8694	12.7545	ENSG00000125875	0.9368997001677029
ENSG00000101266.19	CSNK2A1	10.2407	9.46466	10.1279	11.3185	10.7638	11.9747	12.5607	5.41879	6.61273	6.03858	14.3565	12.0151	7.04508	8.83702	5.41384	6.80974	6.45926	5.07033	7.69771	5.85886	10.1551	20.0789	24.4185	12.995	14.3273	10.5241	9.45044	9.44025	7.85707	8.32108	9.43204	11.7881	9.36653	13.2559	6.49188	5.7787	6.39928	7.75238	3.50501	3.72499	4.16553	9.94017	10.7999	9.83211	11.9844	11.958	14.1584	4.61705	4.08158	7.76854	4.30075	10.3088	10.454	13.5001	14.0278	9.44684	10.5667	8.61796	9.07862	9.15187	9.36373	7.90201	7.64189	15.499	12.3554	14.2922	13.276	3.00851	ENSG00000101266	0.9200193112327003
ENSG00000125878.7	TCF15	6.19946	14.4799	1.00097	0.798614	2.152	0.672421	2.10388	1.33189	1.23127	1.13624	0.81941	0.821841	1.08791	1.08362	1.24319	1.44247	0.952058	1.24895	2.24729	1.6581	7.96268	0.0	0.667512	0.540095	0.923603	4.10211	1.40278	0.86622	0.075788	2.55381	6.2959	0.510726	8.33847	1.84552	7.43251	18.2738	0.954571	3.65694	0.155188	0.062781	0.106048	0.899855	1.22129	1.33587	6.9683	3.49158	0.630102	0.274947	0.181458	0.507503	0.287703	1.0579	0.888011	0.403681	0.473803	0.674599	0.384538	0.876662	0.071565	0.800694	0.744488	0.377559	3.19781	7.19571	1.69643	2.49914	0.518872	0.0	ENSG00000125878	0.8894347229515694
ENSG00000125898.13	FAM110A	4.59664	4.65034	5.23134	4.60061	4.62599	2.89894	9.65139	1.33872	1.30911	3.45778	2.81927	2.64203	2.34511	2.33325	1.39463	2.62937	3.48107	3.18747	1.39156	1.74607	8.63709	5.51139	9.51701	13.9377	5.93374	1.87205	5.35537	6.17892	4.99877	1.69013	2.5773	32.8306	2.23738	3.73562	2.17547	1.1623	4.84503	6.28221	1.49112	1.50833	1.31259	8.89544	16.856	17.8087	1.33457	3.50904	3.91984	2.21314	2.46166	6.20307	2.67267	9.31581	23.3452	60.4342	73.8248	10.5684	14.9657	11.4596	27.7787	4.86679	5.01458	4.85807	1.78339	6.00026	11.3017	4.2934	21.216	22.3307	ENSG00000125898	0.8008232683414361
